Diam Shape,Sieve Size,Gem Type,Diamond Size,QTY.,Diam. Wt,Total Wt,Setting Type,Other
RND,+00,Diamond,1.00,18,0.005,0.09,MICRO PRONG,
RND,+000,Diamond,0.90,12,0.004,0.048,MICRO PRONG,
OVAL,0,Diamond,6.60X4.80,2,0.61,1.22,COLLET SETTING,
OVAL,0,Diamond,7.00X5.00,8,0.7037,5.63,COLLET SETTING,
OVAL,0,Diamond,8.20X5.60,2,1.035,2.07,COLLET SETTING,
EMERALD,0,Diamond,6.00X4.20,4,0.615,2.46,COLLET SETTING,
EMERALD,0,Diamond,6.80X4.60,4,0.8375,3.35,COLLET SETTING,
EMERALD,0,Diamond,7.00X4.80,2,0.94,1.88,COLLET SETTING,
RADIANT,0,Diamond,8.20X5.60,1,1.74,1.74,COLLET SETTING,
EMERALD SQUARE,0,Diamond,5.50X5.50,1,0.88,0.88,COLLET SETTING,
CUSHION,0,Diamond,7.00X5.40,1,1.0,1.0,COLLET SETTING,
PEAR,0,Diamond,8.00X5.20,1,0.81,0.81,COLLET SETTING,
RND,MELE,Diamond,,0,0.0,0.0,,
RND,MELE,Diamond,,0,0.0,0.0,|,
RND,MELE,Diamond,,0,0.0,0.0,|,
RND,MELE,Diamond,,0,0.0,0.0,ew),
RND,MELE,Diamond,,0,0.0,0.0,,
TOTAL :,,,,56,9.1802,21.178,,
